id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license;ciudad
47769310;Studio el puente 1;384986838;Gimena Mercedes;Puente de Vallecas;San Diego;40.39457;-3.66944;Entire home/apt;46.0;3;98;2024-07-15;2.31;1;272;26;;madrid
696529535827260900;Bello y moderno Apartamento centro de Madrid;475692569;Arbin J;Centro;Embajadores;40.41051845515631;-3.700501956045628;Entire home/apt;108.0;1;47;2024-06-22;1.93;1;50;24;;madrid
795495473700141817;Design loft, Walk to Serrano, el Viso & Bernabeu;13689734;Mac;Chamartín;Hispanoamérica;40.45788237379781;-3.682184158232135;Entire home/apt;103.0;5;30;2024-08-22;1.58;3;347;21;;madrid
939094327566812071;Homeclub | Minimalist Apartment in Lavapiés;438136382;Home Club;Centro;Embajadores;40.40974;-3.70242;Entire home/apt;80.0;30;2;2024-06-18;0.47;193;312;2;;madrid
50025775;BNBHolder Don Quixote LAS LETRAS;28786243;Emilio;Centro;Cortes;40.41449;-3.69921;Entire home/apt;317.0;1;57;2024-08-19;1.44;76;325;10;;madrid
16040928;A perfect refuge in Madrid's city center;2864064;Vanessa;Centro;Embajadores;40.41183;-3.69945;Entire home/apt;103.0;1;341;2024-09-01;3.61;21;331;50;VT3421;madrid
1138199263675049215;Piso con garaje junto a Ifema.;495666470;Goitorre;Hortaleza;Pinar del Rey;40.47014792620493;-3.633911337054093;Entire home/apt;94.0;2;16;2024-08-29;3.61;13;58;16;;madrid
919302356469221059;Apartamento Ventas;120185039;Rodrigo;Ciudad Lineal;Ventas;40.4251922;-3.6551892;Entire home/apt;71.0;2;54;2024-08-19;4.35;1;124;53;;madrid
44671913;Olala Maderas Apartment 2 | Balcony;129000409;Olala Homes;Puente de Vallecas;San Diego;40.39218;-3.66811;Entire home/apt;212.0;1;47;2024-07-23;1.01;47;335;9;;madrid
799151799296472647;Apartamento D;465040981;Sibela;Villaverde;Butarque;40.35131291417588;-3.683796622050073;Entire home/apt;94.0;1;10;2024-08-22;0.57;9;114;7;;madrid
35451746;Olala Style Apartment 7.3 | Balcony;129000409;Olala Homes;Puente de Vallecas;San Diego;40.39112;-3.66767;Entire home/apt;220.0;1;67;2024-09-05;1.06;47;327;3;;madrid
50429138;loft cerca de la plaza de toros;17335131;Fernando;Ciudad Lineal;Ventas;40.42788;-3.65945;Entire home/apt;69.0;6;35;2024-08-09;0.97;2;307;14;VT13659;madrid
51354851;Boutique Cuzco: Design with Parking steps Bernabeu;13689734;Mac;Chamartín;Nueva España;40.45917;-3.68105;Entire home/apt;172.0;6;55;2024-07-26;1.52;3;356;20;;madrid
1077570056583955797;Apartamento completo Madrid;464591293;Antonio Julio;Puente de Vallecas;San Diego;40.39632030000001;-3.667857;Entire home/apt;80.0;1;49;2024-08-31;6.65;3;5;49;;madrid
828700985072082377;Impresionante apartamento de 4 dormitorios.;501462746;Fernando;Usera;Almendrales;40.3818246;-3.6959229;Entire home/apt;197.0;3;12;2024-09-09;1.1;1;182;12;;madrid
18100690;Apartamento privado;124678499;Beto;Barajas;Timón;40.47173;-3.58283;Entire home/apt;43.0;1;508;2024-01-31;5.63;1;241;67;;madrid
1156534848686423359;Estudio Madrid L9A;468851616;Estudio;Carabanchel;Opañel;40.38702137445056;-3.724505368786615;Entire home/apt;49.0;3;9;2024-07-28;2.37;4;40;9;;madrid
38641042;Chema Home;295168052;Chema;Ciudad Lineal;Quintana;40.43707;-3.64773;Entire home/apt;110.0;2;88;2024-07-15;1.45;1;338;35;;madrid
893197450212145317;Homeclub | Luxurious Apartment in Justicia;469035350;Home Club;Centro;Justicia;40.4279141;-3.7016713;Entire home/apt;360.0;1;36;2024-09-08;2.48;6;290;32;;madrid
1216656955405688315;Luxury two bedrooms downtown;594348047;Emilio;Arganzuela;Imperial;40.4114943;-3.7203702;Entire home/apt;131.0;3;1;2024-08-12;1.0;1;5;1;;madrid
1005772264340991662;Descubre Madrid desde la comodidad;417933647;Oscar;Ciudad Lineal;San Pascual;40.436879618825024;-3.658620045313256;Private room;50.0;1;13;2024-02-25;1.21;1;1;13;;madrid
51920406;Unique Madrid Apt I;420542591;Dan;Carabanchel;San Isidro;40.39224;-3.72713;Entire home/apt;77.0;2;98;2024-08-12;2.68;2;174;38;;madrid
24014857;Atocha 3 bedroom near museums, shops, train, bars.;24377074;Miriam;Centro;Embajadores;40.40867;-3.6971;Entire home/apt;129.0;7;69;2024-07-21;0.88;3;144;11;;madrid
1014530149467326822;Habitación pequeña en casa de artistas;544284592;Elizaveta;Tetuán;Cuatro Caminos;40.449124345693775;-3.701459967079338;Private room;50.0;1;14;2024-07-21;2.92;1;119;14;;madrid
619409985252566269;Habitación solo para una persona con zona verde;432636130;Larissa;Usera;Pradolongo;40.374;-3.71109;Private room;18.0;1;160;2024-09-09;5.85;2;318;76;;madrid
767317923140908323;Luminoso y moderno apartamento;70190053;Adrian;Retiro;Pacífico;40.40425;-3.68317;Entire home/apt;139.0;4;86;2024-08-19;3.99;3;285;43;;madrid
623024154981920208;Preciosa vivienda con jardín comunitario.;458216424;David;Latina;Aluche;40.39351;-3.76422;Private room;40.0;3;154;2024-09-06;5.49;1;120;71;;madrid
1062889633849214904;Habitación privada Madrid centro;212640897;José Miguel;Tetuán;Berruguete;40.4621894018835;-3.703936739854439;Private room;44.0;1;1;2024-01-15;0.12;1;127;1;;madrid
917899379782190120;Loft a 10 mn Palacio Real;291253690;Fran Y Marta Isabel;Centro;Palacio;40.41299;-3.71693;Entire home/apt;139.0;1;37;2024-09-03;2.56;322;312;33;;madrid
861228413932259978;Apartamento Alicia;14713230;Maria;Centro;Embajadores;40.407612891853056;-3.7002603081072953;Entire home/apt;136.0;3;34;2024-08-22;2.03;4;206;19;;madrid
42675334;Bright & Luxurious - 1BD 2BTH - Atocha/Retiro;339977628;Maria Teresa;Retiro;Jerónimos;40.40851;-3.69034;Entire home/apt;195.0;1;81;2024-08-03;1.61;1;281;21;;madrid
1051481100228158508;¡Luxury apartment next to Plaza Mayor!;48468200;Modus;Centro;Cortes;40.4146185157874;-3.6987894913279344;Entire home/apt;95.0;4;21;2024-08-26;2.44;7;49;21;;madrid
853637600100347072;Wow!;17370230;Ivan;Chamberí;Rios Rosas;40.44435368741913;-3.696985814404815;Entire home/apt;79.0;1;122;2024-08-12;7.01;3;312;81;;madrid
